loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,tc
1,1,0,0,1,1,7,3,1,1,0,7,3,1,1,10_13_03
0,7,3,1,1,0,2,1,0,0,1,6,3,1,0,03_01_13
1,4,2,1,0,0,5,2,1,1,1,2,1,0,0,12_02_11
1,0,0,0,0,0,5,2,1,1,1,4,2,1,0,10_02_12
1,0,0,0,0,1,5,2,1,1,1,6,3,1,0,10_12_13
0,0,0,0,0,1,1,0,0,1,0,7,3,1,1,00_10_03
0,3,1,0,1,0,0,0,0,0,1,6,3,1,0,01_00_13
1,4,2,1,0,0,0,0,0,0,0,4,2,1,0,12_00_02
0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,00_00_01
0,7,3,1,1,1,5,2,1,1,1,6,3,1,0,03_12_13
0,2,1,0,0,1,3,1,0,1,0,3,1,0,1,01_11_01
1,3,1,0,1,0,5,2,1,1,0,3,1,0,1,11_02_01
0,6,3,1,0,0,2,1,0,0,0,5,2,1,1,03_01_02
